title,snippet,link,position,date
Bangladesh: Child marriage rises manifold in pandemic,,https://www.aa.com.tr/en/asia-pacific/bangladesh-child-marriage-rises-manifold-in-pandemic/2184001,0,2022-01-25 04:47:34
CHILD MARRIAGE: BANGLADESH - Human Rights Watch,"Bangladesh has the fourth-highest rate of child marriage in the world, after Niger, the Central African Republic, and Chad, according to the United Nations ...Bangladesh has the highest rate of child marriage of girls under the age of 15 in the world, with 29 percent of girls in Bangladesh married ...",https://www.hrw.org/reports/bangladesh_childmarriage_brochure_FINAL_web.pdf,1,2022-01-25 04:47:34
CHILD MARRIAGE: BANGLADESH - Human Rights Watch,"Bangladesh has the fourth-highest rate of child marriage in the world, after Niger, the Central African Republic, and Chad, according to the United Nations ...",https://www.hrw.org/reports/bangladesh_childmarriage_brochure_FINAL_web.pdf,2,2022-01-25 04:47:34
Bangladesh: Girls Damaged by Child Marriage - Human ...,"Bangladesh has the highest rate of child marriage of girls under the age of 15 in the world, with 29 percent of girls in Bangladesh married ...",https://www.hrw.org/news/2015/06/09/bangladesh-girls-damaged-child-marriage,3,2022-01-25 04:47:34
Ending child marriage | UNICEF,"However, the majority of population in Bangladesh do not believe marrying children is a form of sexual violence. Adolescents who marry are therefore at the risk ...",https://www.unicef.org/bangladesh/en/ending-child-marriage,4,2022-01-25 04:47:34
Ending child marriage: A profile of progress in Bangladesh,"Oct 7, 2020 — Bangladesh is home to 38 million child brides, including currently married girls along with women who were first married in childhood.",https://reliefweb.int/report/bangladesh/ending-child-marriage-profile-progress-bangladesh,5,2022-01-25 04:47:34
Atlas - Girls Not Brides,"Every year, 12 million girls marry before the age of 18. Child marriage happens across countries, cultures and religions. This interactive tool provides ...",https://atlas.girlsnotbrides.org/,6,2022-01-25 04:47:34
Bangladesh's Child Marriage Problem Is the World's Human,"Nov 8, 2019 — The country with the highest rate of marriage involving girls under the age of 15 in the world, and where 150,000 to 200,000 children and young ...",https://foreignpolicy.com/2019/11/08/bangladesh-child-marriage-human-trafficking-crisis/,7,2022-01-25 04:47:34
The 'saddest bride I have ever seen': Child marriage is as ...,"Aug 28, 2015 — Although Nasoin Akhter's marriage is technically illegal in Bangladesh, laws against child marriage are rarely enforced.",https://www.washingtonpost.com/news/morning-mix/wp/2015/08/28/the-saddest-bride-i-have-ever-seen-child-marrige-is-as-popular-as-ever-in-bangladesh/,8,2022-01-25 04:47:34
Preventing child marriage in Bangladesh | MDG Fund,"Although the legal age for marriage is 18 for girls (21 for boys), child marriage is a common occurrence in Bangladesh, particularly among the poorest ...",http://mdgfund.org/story/preventing-child-marriage-bangladesh,9,2022-01-25 04:47:34
Coronavirus child brides: Bangladesh teens forced into ...,"Jul 31, 2021 — Bangladesh is one of the world's top 10 countries for child marriages and home to some 38 million underage brides, Unicef found, with a child ...",https://www.scmp.com/week-asia/lifestyle-culture/article/3143285/coronavirus-child-brides-bangladesh-teens-forced,10,2022-01-25 04:47:34
U.N. to Bangladesh: do more to end child marriage | Reuters,"Oct 7, 2020 — The legal minimum age of marriage in Bangladesh is 18 for women and 21 for men. More than 190 U.N. member states, including Bangladesh, ...",https://www.reuters.com/article/us-bangladesh-women-childmarriage/u-n-to-bangladesh-do-more-to-end-child-marriage-idUSKBN26S2X5,11,2022-01-25 04:47:34
Decline in Child Marriage and Changes in Its Effect on ... - NCBI,"by SMM Kamal · 2012 · Cited by 88 — The findings of the study reveal that the practice of child marriage is very common in Bangladesh. Overall, the prevalence of child marriage was 82%, and the ...by SMM Kamal · 2015 · Cited by 129 — Despite some improvements in education and other socioeconomic indicators, Bangladeshi society still faces the relentless practice of early marriage. The mean ...",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3489948/,12,2022-01-25 04:47:34
USAID Launches Campaign to Prevent Child Marriage in ...,"Jul 29, 2021 — Today, the Bangladesh Secretary for the Ministry of Women and Children Affairs (MOWCA) Md. Sayedul Islam launched a new “Actions to Prevent ...",https://www.usaid.gov/bangladesh/press-releases/jul-29-2021-usaid-launches-campaign-prevent-child-marriage-bangladesh,13,2022-01-25 04:47:34
